open_dt,close_dt,volume,pnl,pips,duration,max_dd,direction
2018-12-03 03:00:00,2018-12-07 20:00:00,26437.541308658296,179.9378930007108,680.6150802751931,113,293.67370000001887,long
2018-12-10 01:00:00,2018-12-10 23:00:00,26704.745218214368,216.31825257670206,810.0367586699963,22,6.718000000005552,short
2018-12-11 13:00:00,2018-12-14 09:00:00,27432.44389428745,198.5406830411874,723.7440594293209,68,151.6845999999905,short
2018-12-14 09:00:00,2018-12-14 12:00:00,28146.460470095906,-37.65967679274284,-133.79897921002026,3,86.64605000001657,long
2018-12-14 12:00:00,2018-12-14 14:00:00,28058.09055394105,-56.22939590730813,-200.40350144001627,2,150.64395000001784,long
2018-12-14 14:00:00,2018-12-18 02:00:00,27921.757826506222,191.81694515907498,686.9801906847828,36,6.641300000009841,long
2018-12-18 10:00:00,2019-01-03 00:00:00,28169.88434869493,190.2327350318043,675.30534622382,202,983.6936499999948,short
2019-01-03 00:00:00,2019-01-07 02:00:00,28793.939665862632,215.56472657999362,748.6461702757684,50,6.669450000007514,long
2019-01-07 10:00:00,2019-01-22 14:00:00,29109.35075586706,244.47200873716702,839.8401283061795,268,1309.7189499999827,short
2019-01-24 14:00:00,2019-02-11 16:00:00,29909.541380010964,277.47241664078484,927.7053536709267,290,1275.6886500000064,short
2019-02-11 16:00:00,2019-02-11 18:00:00,30917.55628454559,-34.12216116039667,-110.36500054000253,2,62.63785000000243,long
2019-02-11 18:00:00,2019-02-13 22:00:00,30841.814429970476,-57.99031869972366,-188.02499065480038,52,113.63515000000211,long
2019-02-13 22:00:00,2019-02-18 11:00:00,30725.617509281066,198.88396323025464,647.2903699012099,61,41.62795000002273,long
2019-02-18 12:00:00,2019-03-07 14:00:00,31051.27377655525,192.36123406894882,619.4954688595988,314,868.6650499999837,short
2019-03-07 14:00:00,2019-03-07 17:00:00,31835.68629445383,-79.62534985769342,-250.11350193999692,3,198.61620000001244,long
2019-03-07 17:00:00,2019-03-07 19:00:00,31644.14677049595,-39.27244322690532,-124.10650067999906,2,72.61235000002308,long
2019-03-07 19:00:00,2019-03-13 23:00:00,31657.63899673211,464.9464542167375,1468.6706556503946,101,26.591500000017195,long
2019-03-13 23:00:00,2019-04-01 22:00:00,32479.4505396766,386.2294637022057,1189.1502389499874,311,1160.6647999999884,short
2019-04-02 07:00:00,2019-04-02 15:00:00,33892.28610937009,-47.101550709655754,-138.97425083000402,8,86.59950000000637,long
2019-04-02 15:00:00,2019-04-08 13:00:00,33805.65327369836,230.16608982817132,680.850885988482,94,5.592900000017663,long
2019-04-08 13:00:00,2019-04-24 14:00:00,34157.8925078314,245.31943385638445,718.1925342734096,289,479.6361999999998,short
2019-04-24 16:00:00,2019-04-24 19:00:00,35167.66522373418,-79.54129881992229,-226.17736581000966,3,178.57905000000505,long
2019-04-24 19:00:00,2019-04-24 21:00:00,34961.01642492968,-40.97040106310955,-117.18881558000493,2,72.57790000001485,long
2019-04-24 21:00:00,2019-04-25 09:00:00,34856.46453797077,-45.51780552982048,-130.58640953167443,12,80.57710000002326,long
2019-04-25 09:00:00,2019-04-25 12:00:00,34800.18296554223,-53.11926061754069,-152.64075097001228,3,104.56650000001399,long
2019-04-25 12:00:00,2019-05-01 10:00:00,34665.137428331574,336.6370424568109,971.1112299865875,94,37.565099999992135,long
2019-05-01 10:00:00,2019-05-23 08:00:00,35238.164311916546,306.3709041688764,869.4292400051928,378,215.61800000000628,short
2019-05-24 12:00:00,2019-05-29 20:00:00,36187.58363188607,205.90105297576667,568.9825965454531,80,189.59750000000494,short
2019-05-29 20:00:00,2019-05-30 14:00:00,36953.57218258439,-48.95000006441329,-132.463513466452,18,82.56525000003289,long
2019-05-30 14:00:00,2019-06-03 13:00:00,36835.20273093611,228.70285527877567,620.8812177561417,47,7.56315000001173,long
2019-06-03 17:00:00,2019-07-23 15:00:00,37063.11904178956,297.1059510038878,801.6215544862647,862,1666.6214000000011,short
2019-07-23 15:00:00,2019-07-23 17:00:00,38152.159319900515,-40.73267619048887,-106.7637505100416,2,58.57765000001346,long
2019-07-23 17:00:00,2019-07-24 01:00:00,38050.804978654865,-41.098149674603874,-108.00862083641948,8,55.00000000000504,long
2019-07-24 01:00:00,2019-07-24 08:00:00,37966.46944185022,-47.88955149351959,-126.13643616998792,7,72.99999999998974,long
2019-07-24 08:00:00,2019-07-25 07:00:00,37863.044377521066,-49.79045748831683,-131.50146351643687,23,80.56890000001093,long
2019-07-25 07:00:00,2019-07-25 12:00:00,37766.5715432777,-68.20727842710943,-180.60225125002825,5,133.56335000000996,long
2019-07-25 12:00:00,2019-07-25 17:00:00,37490.68682322456,-100.74413088948378,-268.7177521300432,5,217.5771000000326,long
2019-07-25 17:00:00,2019-07-26 08:00:00,37251.78751565747,-60.172085517993466,-161.5280488022286,15,111.57220000002076,long
2019-07-26 08:00:00,2019-07-26 15:00:00,37121.120008145845,-54.068210865161596,-145.6535009000115,7,96.56760000000818,long
2019-07-26 15:00:00,2019-07-31 19:00:00,37023.99506108088,-158.7041314569242,-428.6520976331642,76,367.5602499999986,long
2019-07-31 19:00:00,2019-08-01 01:00:00,36766.454944307225,-124.30551711872951,-338.09492187111266,6,286.53455000000605,long
2019-08-01 01:00:00,2019-08-01 07:00:00,36496.483501935116,-48.62207546529221,-133.22400077999674,6,81.52435000001734,long
2019-08-01 07:00:00,2019-08-05 01:00:00,36419.179238172735,316.2468217273731,868.352413049167,42,34.51605000002189,long
2019-08-05 02:00:00,2019-08-23 11:00:00,36978.16810294582,218.98913067198913,592.2119507443701,345,1205.999999999996,short
2019-08-25 21:00:00,2019-08-28 15:00:00,37482.5936027685,246.24101084290655,656.9476313526001,66,70.57349999999296,short
2019-08-28 20:00:00,2019-08-29 04:00:00,38389.44560581311,1.4500590138173486,3.7772335362840077,8,13.5386500000223,long
2019-08-29 14:00:00,2019-08-29 16:00:00,38427.71908474179,-52.94457551227472,-137.7770442099857,2,89.00000000000573,long
2019-08-29 16:00:00,2019-08-30 03:00:00,38333.03404278084,-59.05383089278327,-154.0546746883642,11,102.52619999999712,long
2019-08-30 03:00:00,2019-08-30 07:00:00,38202.46867782684,-47.06677875726291,-123.2035006800025,4,73.52204999999667,long
2019-08-30 07:00:00,2019-08-30 15:00:00,38097.727726989986,-118.91148595947658,-312.122252570024,8,260.5186500000078,long
2019-08-30 15:00:00,2019-08-30 18:00:00,37941.58454121086,-87.98587124490993,-231.898251770013,3,183.49425000001582,long
2019-08-30 18:00:00,2019-09-02 10:00:00,37743.966013028396,-87.102689491562,-230.77248814153958,16,182.48815000001525,long
2019-09-02 10:00:00,2019-09-03 01:00:00,37541.12649827697,-70.42714264101204,-187.59997157848926,15,135.483000000014,long
2019-09-03 01:00:00,2019-09-03 03:00:00,37440.298453992604,-47.451909141191194,-126.7402000000084,2,83.99999999999518,long
2019-09-03 03:00:00,2019-09-05 12:00:00,37323.46915108132,464.454549683814,1244.403481905043,57,5.467550000015641,long
2019-09-05 12:00:00,2019-09-12 12:00:00,38164.21509539516,333.25536114001085,873.2142408981902,120,222.52959999999877,short
2019-09-12 12:00:00,2019-09-12 16:00:00,39474.77157880972,482.7586978065019,1222.9550127799803,4,2.47255000001001,long
2019-09-12 18:00:00,2019-09-16 15:00:00,40326.36098875674,283.3102206466091,702.5434819809328,45,293.5367000000077,short
2019-09-16 16:00:00,2019-09-16 18:00:00,41360.967868486085,-50.665510606555486,-122.4959502100109,2,74.50104999999762,long
2019-09-16 18:00:00,2019-09-16 22:00:00,41208.95426638259,-52.33908102090528,-127.00900072002418,4,91.50270000002347,long
2019-09-16 22:00:00,2019-09-17 07:00:00,41071.508573405896,-57.421491008135035,-139.80857534245936,9,93.00000000000973,long
2019-09-17 07:00:00,2019-09-18 04:00:00,40870.76641581222,177.37374417433335,433.9868314916506,21,24.507950000018926,long
2019-09-18 05:00:00,2019-09-23 08:00:00,41170.3053029732,371.6939006480114,902.8203650973898,75,22.532700000010838,short
2019-09-23 08:00:00,2019-09-25 15:00:00,42516.55530676587,-99.67986240431804,-234.44952603781653,55,180.48845000002697,long
2019-09-25 15:00:00,2019-09-25 17:00:00,42354.87225400699,-46.898491412239906,-110.7275005600039,2,62.47415000000255,long
2019-09-25 17:00:00,2019-09-25 19:00:00,42232.536325081564,-46.13872694013517,-109.24924466999552,2,67.47335000001353,long
2019-09-25 19:00:00,2019-09-25 21:00:00,42113.786166508195,-38.42537903117794,-91.24180589998863,2,63.999999999997385,long
2019-09-25 21:00:00,2019-09-26 10:00:00,42015.75500683214,-58.18819654024325,-138.49137432084822,13,88.47130000002589,long
2019-09-26 10:00:00,2019-09-26 20:00:00,41906.3989796754,-73.82203710499334,-176.15934297001698,10,130.4648500000116,long
2019-09-26 20:00:00,2019-09-30 12:00:00,41745.02229644715,-69.60740364147304,-166.74420041546955,40,111.4591000000109,long
2019-09-30 12:00:00,2019-10-01 02:00:00,41633.46604872981,-55.8977268304876,-134.2615259682267,14,84.44895000001561,long
2019-10-01 02:00:00,2019-10-01 07:00:00,41527.223537586135,-44.42399180027395,-106.9755885800161,5,65.4429000000345,long
2019-10-01 07:00:00,2019-10-03 16:00:00,41398.7090148743,398.9711346181384,963.7284449493188,57,29.443650000016138,long
