open_dt,close_dt,volume,pnl,pnl_pips,direction,entry_price,exit_price,max_dd,duration_bars,balance,regime
2019-01-22 23:00:00,2019-01-23 17:00:00,100000.0,223.4999999999841,298.9999999999826,buy,1.13623,1.13922,123.00000000000642,18,10230.999999999984,5
2019-01-24 11:00:00,2019-01-24 14:00:00,102309.99999999984,-131.2125750000075,318.9999999999804,buy,1.13454,1.13773,399.000000000016,3,10101.066299999975,5
2019-02-05 07:00:00,2019-02-05 09:00:00,101010.66299999975,-137.20615057501536,-58.00000000000249,buy,1.14245,1.14187,134.99999999999622,2,9964.70190494996,5
2019-02-06 03:00:00,2019-02-06 08:00:00,99647.0190494996,-125.63828318492081,-69.00000000000794,buy,1.13976,1.13907,181.00000000000892,5,9841.139601328572,5
2019-04-03 02:00:00,2019-04-03 09:00:00,98411.39601328573,184.11132004152617,273.0000000000121,buy,1.12201,1.12474,53.99999999999849,7,10028.121253753818,6
2019-04-08 06:00:00,2019-04-08 11:00:00,100281.21253753819,126.2707601201812,200.00000000000017,buy,1.12263,1.12463,52.999999999991935,5,10156.481205801865,6
2019-04-16 18:00:00,2019-04-16 23:00:00,101564.81205801865,-90.4773200750304,-29.000000000012346,buy,1.1287,1.12841,89.00000000000573,5,10068.119819311374,5
2019-04-17 10:00:00,2019-04-17 14:00:00,100681.19819311374,-93.29791032561243,-66.00000000001049,buy,1.1309,1.13024,188.9999999999947,4,9976.499928955647,6
2019-04-23 14:00:00,2019-04-23 19:00:00,99764.99928955648,47.80406215957654,177.00000000000492,buy,1.12063,1.1224,66.00000000001049,5,10026.382428600422,5
2019-05-20 10:00:00,2019-05-21 07:00:00,100263.82428600422,-96.00261175386103,14.999999999987244,buy,1.11538,1.11553,102.00000000000207,21,9939.152901471585,5
2019-05-29 10:00:00,2019-05-29 14:00:00,99391.52901471585,-158.69514132684037,-146.99999999998602,buy,1.11563,1.11416,165.99999999999946,4,9782.114285628324,5
2019-07-16 10:00:00,2019-07-16 13:00:00,97821.14285628324,-72.63219857077743,-53.99999999999849,buy,1.12228,1.12174,156.9999999999849,3,9710.704851343251,5
2019-07-18 14:00:00,2019-07-18 18:00:00,97107.04851343251,-193.8904068651598,-502.99999999998676,sell,1.12175,1.12678,190.00000000000125,4,9518.432895286649,2
2019-07-21 21:00:00,2019-07-22 03:00:00,95184.32895286649,-28.079377041092137,11.000000000005448,buy,1.12163,1.12174,92.99999999998752,6,9492.733126469378,1
2019-07-22 09:00:00,2019-07-22 15:00:00,94927.3312646938,12.815189720730526,-28.000000000005794,buy,1.12165,1.12137,103.00000000000863,6,9507.921499471724,1
