open_dt,close_dt,volume,pnl,pnl_pips,direction,entry_price,exit_price,max_dd,duration_bars,balance,year
2006-01-03 17:00:00,2006-01-04 03:00:00,10000.0,82.67500000000149,-853.0000000000148,buy,1.2066000000000001,1.19807,953.0000000000038,10,10083.300000000003,2006
2006-01-05 01:00:00,2006-01-06 14:00:00,10000.0,-56.012499999998965,516.9999999999897,sell,1.21616,1.21099,182.9999999999998,37,10029.600000000004,2006
2006-01-09 05:00:00,2006-01-09 09:00:00,10000.0,52.05000000000046,-543.0000000000045,sell,1.2089,1.2143300000000001,583.0000000000001,4,10081.900000000005,2006
2006-01-09 09:00:00,2006-01-12 00:00:00,10000.0,-60.737499999999294,547.9999999999928,sell,1.21383,1.20835,59.999999999993385,63,10025.100000000008,2006
2006-01-15 22:00:00,2006-01-17 12:00:00,10000.0,66.62500000000107,-710.0000000000106,sell,1.2075,1.2146000000000001,950.0000000000064,38,10094.100000000008,2006
2006-01-17 12:00:00,2006-01-19 10:00:00,10000.0,-7.374999999998614,24.99999999998614,buy,1.20835,1.2086,324.9999999999975,46,10089.60000000001,2006
2006-01-19 17:00:00,2006-01-20 21:00:00,10000.0,-27.449999999999832,236.9999999999983,sell,1.2134,1.21103,58.00000000000249,28,10063.90000000001,2006
2006-01-22 22:00:00,2006-01-23 01:00:00,10000.0,-86.18749999999963,839.9999999999962,sell,1.222,1.2136,190.00000000000125,3,9977.90000000001,2006
2006-01-23 01:00:00,2006-01-24 00:00:00,10000.0,-73.7374999999987,702.9999999999869,sell,1.23033,1.2233,180.00000000000236,23,9905.600000000011,2006
2006-01-24 17:00:00,2006-01-25 16:00:00,10000.0,-36.73750000000055,333.0000000000055,buy,1.2261,1.22943,228.9999999999903,23,9870.300000000014,2006
2006-01-26 17:00:00,2006-01-27 16:00:00,10000.0,86.86250000000094,-903.0000000000093,sell,1.2137,1.22273,974.9999999999925,23,9958.600000000015,2006
2006-01-29 22:00:00,2006-01-31 18:00:00,10000.0,-81.7500000000004,770.000000000004,sell,1.2174,1.2097,133.00000000000531,44,9879.600000000013,2006
2006-01-31 18:00:00,2006-02-01 11:00:00,10000.0,-68.0624999999995,649.999999999995,buy,1.2109,1.2174,80.00000000001339,17,9812.600000000015,2006
2006-02-05 22:00:00,2006-02-06 14:00:00,10000.0,52.50000000000166,-555.0000000000166,sell,1.19705,1.2026000000000001,714.9999999999989,16,9866.100000000015,2006
2006-02-13 05:00:00,2006-02-15 15:00:00,10000.0,-46.62499999999993,409.9999999999992,sell,1.19335,1.18925,87.00000000001484,58,9823.100000000011,2006
2006-02-19 22:00:00,2006-02-24 21:00:00,10000.0,43.562500000000824,-530.0000000000082,sell,1.1865999999999999,1.1919,1070.0000000000152,119,9874.100000000006,2006
2006-02-28 09:00:00,2006-02-28 16:00:00,10000.0,40.06250000000087,-425.0000000000087,buy,1.19185,1.1876,470.00000000001484,7,9914.600000000006,2006
2006-02-28 16:00:00,2006-03-02 16:00:00,10000.0,50.39999999999878,-553.9999999999878,buy,1.1981,1.19256,902.0000000000027,48,9968.000000000004,2006
2006-03-05 22:00:00,2006-03-06 18:00:00,10000.0,42.149999999999885,-453.9999999999988,sell,1.19986,1.2044,904.0000000000158,20,10011.400000000003,2006
2006-03-19 22:00:00,2006-03-21 15:00:00,10000.0,48.737500000000566,-533.0000000000057,sell,1.21191,1.21724,763.9999999999868,41,10062.699999999999,2006
