atr_period,tp_mult,sl_mult,profit,trades,win_pct,max_dd,sharpe
14,1.5,1.0,444254.05,781,100.0,,
14,1.5,1.0,444254.05,781,100.0,,
14,1.5,1.5,444254.05,781,100.0,,
14,1.5,2.0,444254.05,781,100.0,,
14,2.0,1.0,444254.05,781,100.0,,
14,2.0,1.5,444254.05,781,100.0,,
14,2.0,2.0,444254.05,781,100.0,,
14,3.0,1.0,444254.05,781,100.0,,
14,3.0,1.5,444254.05,781,100.0,,
14,3.0,2.0,444254.05,781,100.0,,
14,4.0,1.0,444254.05,781,100.0,,
14,4.0,1.5,444254.05,781,100.0,,
14,4.0,2.0,444254.05,781,100.0,,
21,1.5,1.0,444254.05,781,100.0,,
21,1.5,1.5,444254.05,781,100.0,,
21,1.5,2.0,444254.05,781,100.0,,
21,2.0,1.0,444254.05,781,100.0,,
21,2.0,1.5,444254.05,781,100.0,,
21,2.0,2.0,444254.05,781,100.0,,
21,3.0,1.0,444254.05,781,100.0,,
21,3.0,1.5,444254.05,781,100.0,,
21,3.0,2.0,444254.05,781,100.0,,
21,4.0,1.0,444254.05,781,100.0,,
21,4.0,1.5,444254.05,781,100.0,,
21,4.0,2.0,444254.05,781,100.0,,
28,1.5,1.0,444254.05,781,100.0,,
28,1.5,1.5,444254.05,781,100.0,,
28,1.5,2.0,444254.05,781,100.0,,
28,2.0,1.0,444254.05,781,100.0,,
28,2.0,1.5,444254.05,781,100.0,,
28,2.0,2.0,444254.05,781,100.0,,
28,3.0,1.0,444254.05,781,100.0,,
28,3.0,1.5,444254.05,781,100.0,,
28,3.0,2.0,444254.05,781,100.0,,
28,4.0,1.0,444254.05,781,100.0,,
28,4.0,1.5,444254.05,781,100.0,,
28,4.0,2.0,444254.05,781,100.0,,
