open_dt,close_dt,volume,pnl,pnl_pips,direction,entry_price,exit_price,max_dd,duration_bars,balance,regime,wfo_fold,wfo_train_range
2011-02-28 17:00:00,2011-03-02 03:00:00,100000.0,-424.1666666666631,-353.0000000000033,buy,1.37913,1.3756,392.99999999999886,34,9590.0,5,2011,2008-2010
2011-03-03 17:00:00,2011-03-04 15:00:00,95900.0,582.9121666666703,543.0000000000045,buy,1.3935,1.39893,48.00000000000359,22,10181.703000000009,6,2011,2008-2010
2011-03-31 20:00:00,2011-04-01 13:00:00,101817.03000000009,-592.6599621249669,-930.9999999999928,buy,1.41564,1.40633,683.0000000000114,17,9596.255077500016,5,2011,2008-2010
2011-05-04 16:00:00,2011-05-05 13:00:00,95962.55077500016,-1427.68284915507,-1767.0000000000073,buy,1.48489,1.46722,1716.0000000000064,21,8176.968951537761,5,2011,2008-2010
2011-07-05 16:00:00,2011-07-05 19:00:00,81769.68951537761,-525.1658309125125,-487.9999999999995,buy,1.4471,1.44222,682.0000000000048,3,7652.825241744192,5,2011,2008-2010
2011-07-06 04:00:00,2011-07-06 07:00:00,76528.25241744192,-278.7541594305317,-818.0000000000075,buy,1.44564,1.43746,378.00000000001165,3,7375.027685468879,5,2011,2008-2010
2012-02-16 17:00:00,2012-02-17 14:00:00,100000.0,654.2499999999943,697.9999999999985,buy,1.3103,1.31728,21.00000000000435,21,10662.999999999993,6,2012,2009-2011
2012-03-01 17:00:00,2012-03-02 08:00:00,106629.99999999993,-564.3392750000037,-673.9999999999968,buy,1.33161,1.32487,510.9999999999948,15,10105.32509999999,6,2012,2009-2011
2012-03-05 01:00:00,2012-03-05 04:00:00,101053.2509999999,-219.53818779746837,-134.00000000001188,buy,1.32129,1.31995,287.000000000015,3,9887.050077839998,6,2012,2009-2011
2012-03-07 01:00:00,2012-03-07 14:00:00,98870.5007784,-121.03397136954456,-224.000000000002,buy,1.31388,1.31164,261.0000000000001,13,9771.371591929284,6,2012,2009-2011
2012-03-13 16:00:00,2012-03-13 19:00:00,97713.71591929284,-434.09318297144927,-392.99999999999886,buy,1.31114,1.30721,539.0000000000006,3,9338.499830406829,6,2012,2009-2011
2012-03-22 00:00:00,2012-03-22 09:00:00,93384.99830406829,-642.2553258362229,-700.999999999996,buy,1.32284,1.31583,770.000000000004,9,8699.746442007005,6,2012,2009-2011
2012-03-29 20:00:00,2012-03-30 02:00:00,86997.46442007004,374.5240843283993,482.0000000000046,buy,1.33011,1.33493,74.99999999998063,6,9076.445462945909,6,2012,2009-2011
2012-04-05 00:00:00,2012-04-05 09:00:00,90764.45462945908,-338.32450463130345,-838.9999999999897,buy,1.31489,1.3065,377.9999999999894,9,8741.524625363209,6,2012,2009-2011
2012-04-07 20:00:00,2012-04-08 21:00:00,87415.24625363208,241.77600192983363,324.9999999999975,buy,1.30644,1.30969,178.99999999999582,25,8992.40638211113,6,2012,2009-2011
2012-04-30 00:00:00,2012-04-30 11:00:00,89924.06382111131,-185.7681285104352,-157.00000000000713,buy,1.32348,1.32191,269.99999999999244,11,8810.759773192498,6,2012,2009-2011
2012-05-03 12:00:00,2012-05-04 08:00:00,88107.597731925,-357.129462806736,-380.99999999998687,buy,1.3168,1.31299,394.0000000000054,20,8460.972610196755,6,2012,2009-2011
2012-08-22 12:00:00,2012-08-22 14:00:00,84609.72610196755,255.66238903810307,242.9999999999932,buy,1.24428,1.24671,90.00000000001228,2,8717.340080285709,6,2012,2009-2011
2012-08-28 08:00:00,2012-08-28 15:00:00,87173.40080285708,271.1819209975501,320.99999999999346,buy,1.25312,1.25633,1.9999999999908975,7,8991.064558806676,6,2012,2009-2011
2012-09-05 12:00:00,2012-09-06 14:00:00,89910.64558806676,-276.7749373352754,282.9999999999888,buy,1.26041,1.26324,429.999999999997,26,8724.02994141011,6,2012,2009-2011
2012-09-19 16:00:00,2012-09-20 02:00:00,87240.2994141011,-360.4478370792521,-519.0000000000027,buy,1.30683,1.30164,377.9999999999894,10,8367.217116806445,6,2012,2009-2011
2012-09-20 20:00:00,2012-09-21 09:00:00,83672.17116806447,580.3362338598218,592.0000000000147,buy,1.29676,1.30268,126.99999999998822,13,8952.085593271204,6,2012,2009-2011
2012-09-24 16:00:00,2012-09-25 15:00:00,89520.85593271203,387.99830975502607,298.9999999999826,buy,1.2914,1.29439,282.00000000000443,23,9348.66298505312,6,2012,2009-2011
2012-09-26 16:00:00,2012-09-27 16:00:00,93486.6298505312,67.31037349238917,336.00000000000296,buy,1.28617,1.28953,334.00000000001205,24,9425.32202153056,6,2012,2009-2011
2012-10-01 08:00:00,2012-10-02 16:00:00,94253.2202153056,483.2048423038068,472.0000000000057,buy,1.28935,1.29407,178.99999999999582,32,9921.093959863078,6,2012,2009-2011
2012-10-10 08:00:00,2012-10-10 23:00:00,99210.93959863078,-196.68568775427488,-112.99999999998532,buy,1.287,1.28587,295.0000000000008,15,9730.60895583372,6,2012,2009-2011
2012-10-11 04:00:00,2012-10-11 11:00:00,97306.0895583372,447.68910037633225,604.0000000000044,buy,1.28632,1.29236,193.99999999998303,7,10181.136150488835,6,2012,2009-2011
2012-10-22 00:00:00,2012-10-22 11:00:00,101811.36150488837,308.91263936608215,296.00000000000733,buy,1.30365,1.30661,126.00000000000388,11,10494.715143923891,6,2012,2009-2011
2012-10-24 04:00:00,2012-10-24 08:00:00,104947.15143923892,-305.0463868500576,-541.0000000000136,buy,1.29861,1.2932,293.99999999999426,4,10191.41787626449,6,2012,2009-2011
2012-10-24 16:00:00,2012-10-25 06:00:00,101914.17876264492,438.4008256439949,443.9999999999999,buy,1.29534,1.29978,100.99999999999552,14,10635.763695669635,6,2012,2009-2011
2012-10-28 21:00:00,2012-10-29 01:00:00,106357.63695669635,-282.5567888482843,-129.99999999998568,buy,1.29419,1.29289,276.9999999999939,4,10354.979534103964,6,2012,2009-2011
2012-10-29 20:00:00,2012-10-30 08:00:00,103549.79534103964,269.2294678866873,323.0000000000066,buy,1.2903,1.29353,177.00000000000492,12,10629.386491757705,6,2012,2009-2011
2012-11-28 17:00:00,2012-11-29 10:00:00,106293.86491757704,415.5204336069747,455.0000000000053,buy,1.29407,1.29862,158.00000000001367,17,11052.436074129671,6,2012,2009-2011
2012-12-09 22:00:00,2012-12-10 14:00:00,110524.36074129672,446.8868319306281,453.9999999999988,buy,1.28916,1.2937,65.00000000000394,16,11506.691196776384,6,2012,2009-2011
2012-12-23 22:00:00,2012-12-24 12:00:00,115066.91196776382,435.1447054247456,393.9999999999832,buy,1.31777,1.32171,70.0000000000145,14,11948.548138732582,6,2012,2009-2011
2012-12-24 12:00:00,2012-12-24 16:00:00,119485.48138732582,-328.1867888771728,-400.9999999999847,buy,1.32171,1.3177,243.99999999999972,4,11622.352774545196,6,2012,2009-2011
2013-02-20 22:00:00,2013-02-21 06:00:00,100000.0,-513.3333333333409,-238.0000000000049,buy,1.32874,1.32636,527.9999999999951,8,9489.999999999996,1,2013,2010-2012
2013-02-25 18:00:00,2013-03-01 13:00:00,94899.99999999996,-916.6549166666804,-809.0000000000152,buy,1.30865,1.30056,1013.0000000000192,91,8609.327999999987,1,2013,2010-2012
2013-03-06 18:00:00,2013-03-07 14:00:00,86093.27999999987,679.8499344000098,1110.000000000011,buy,1.29876,1.30986,239.99999999999577,20,9296.352374399998,1,2013,2010-2012
2013-03-13 13:00:00,2013-03-15 10:00:00,92963.523744,999.5902890573786,1202.000000000014,buy,1.29398,1.306,293.99999999999426,45,10313.373324159376,1,2013,2010-2012
2013-03-19 21:00:00,2013-03-24 21:00:00,103133.73324159376,705.4347353725173,512.0000000000013,buy,1.29087,1.29599,659.9999999999939,120,11070.374926152685,1,2013,2010-2012
2013-03-25 17:00:00,2013-03-27 10:00:00,110703.74926152684,-908.9700345615464,-852.0000000000082,buy,1.28776,1.27924,798.0000000000098,41,10180.316782090002,1,2013,2010-2012
2013-03-29 10:00:00,2013-03-31 21:00:00,101803.16782090002,183.66988194355432,173.0000000000009,buy,1.27924,1.28097,422.9999999999956,59,10389.013276122854,1,2013,2010-2012
2013-04-04 09:00:00,2013-04-04 13:00:00,103890.13276122855,-266.65134075382235,483.9999999999955,buy,1.27947,1.28431,504.99999999999983,4,10124.093437581718,1,2013,2010-2012
2013-04-15 21:00:00,2013-04-16 17:00:00,101240.9343758172,1256.0625258226305,1449.9999999999957,buy,1.30455,1.31905,182.00000000001543,20,11388.592707935668,1,2013,2010-2012
2013-04-19 17:00:00,2013-04-21 21:00:00,113885.92707935668,258.9006742270606,299.0000000000048,buy,1.30362,1.30661,265.0000000000041,52,11672.16866636326,1,2013,2010-2012
2013-04-25 09:00:00,2013-04-28 21:00:00,116721.6866636326,585.9428670514503,721.000000000016,buy,1.29866,1.30587,341.99999999999784,84,12298.964123746982,1,2013,2010-2012
2013-05-04 13:00:00,2013-05-05 21:00:00,122989.64123746984,362.4094761797445,374.999999999992,buy,1.30783,1.31158,462.0000000000068,32,12677.77221875839,1,2013,2010-2012
2013-05-09 21:00:00,2013-05-10 09:00:00,126777.72218758392,-592.0519626160219,-383.0,buy,1.30439,1.30056,536.9999999999875,12,12092.059142251746,1,2013,2010-2012
2013-05-14 17:00:00,2013-05-15 08:00:00,120920.59142251746,-498.4951381393459,-426.9999999999996,buy,1.29421,1.28994,547.0000000000085,15,11601.121541076309,1,2013,2010-2012
