open_dt,close_dt,volume,pnl,pnl_pips,direction,entry_price,exit_price,max_dd,duration_bars,balance,regime,wfo_fold,wfo_train_range
2011-02-28 17:00:00,2011-03-02 03:00:00,100000.0,-424.16666666666305,-353.0000000000033,buy,1.37913,1.3756,392.99999999999886,34,9590.0,5,2011,2008-2010
2011-03-03 17:00:00,2011-03-04 15:00:00,95900.0,582.9121666666703,543.0000000000045,buy,1.3935,1.39893,48.00000000000359,22,10181.703000000007,6,2011,2008-2010
2011-03-31 20:00:00,2011-04-01 13:00:00,101817.03000000007,-592.6599621249669,-930.9999999999928,buy,1.41564,1.40633,683.0000000000114,17,9596.255077500016,5,2011,2008-2010
2011-05-04 16:00:00,2011-05-05 13:00:00,95962.55077500017,-1427.68284915507,-1767.0000000000073,buy,1.48489,1.46722,1716.0000000000064,21,8176.968951537761,5,2011,2008-2010
2011-07-05 16:00:00,2011-07-05 19:00:00,81769.68951537761,-525.1658309125125,-487.9999999999995,buy,1.4471,1.44222,682.0000000000048,3,7652.825241744192,5,2011,2008-2010
2011-07-06 04:00:00,2011-07-06 07:00:00,76528.25241744192,-278.7541594305317,-818.0000000000075,buy,1.44564,1.43746,378.00000000001165,3,7375.027685468879,5,2011,2008-2010
2012-02-16 17:00:00,2012-02-17 14:00:00,100000.0,654.2499999999943,697.9999999999985,buy,1.3103,1.31728,21.00000000000435,21,10662.999999999993,6,2012,2009-2011
2012-03-01 17:00:00,2012-03-02 08:00:00,106629.99999999993,-564.3392750000037,-673.9999999999968,buy,1.33161,1.32487,510.99999999999477,15,10105.32509999999,6,2012,2009-2011
2012-03-05 01:00:00,2012-03-05 04:00:00,101053.2509999999,-219.53818779746834,-134.00000000001188,buy,1.32129,1.31995,287.000000000015,3,9887.050077839998,6,2012,2009-2011
2012-03-07 01:00:00,2012-03-07 14:00:00,98870.50077839999,-121.03397136954457,-224.00000000000196,buy,1.31388,1.31164,261.0000000000001,13,9771.371591929284,6,2012,2009-2011
2012-03-13 16:00:00,2012-03-13 19:00:00,97713.71591929285,-434.09318297144927,-392.99999999999886,buy,1.31114,1.30721,539.0000000000006,3,9338.499830406827,6,2012,2009-2011
2012-03-22 00:00:00,2012-03-22 09:00:00,93384.99830406827,-642.2553258362229,-700.999999999996,buy,1.32284,1.31583,770.000000000004,9,8699.746442007005,6,2012,2009-2011
2012-03-29 20:00:00,2012-03-30 02:00:00,86997.46442007004,374.5240843283993,482.0000000000046,buy,1.33011,1.33493,74.99999999998063,6,9076.445462945907,6,2012,2009-2011
2012-04-05 00:00:00,2012-04-05 09:00:00,90764.45462945908,-338.32450463130345,-838.9999999999897,buy,1.31489,1.3065,377.9999999999894,9,8741.524625363209,6,2012,2009-2011
2012-04-07 20:00:00,2012-04-08 21:00:00,87415.24625363208,241.77600192983363,324.9999999999975,buy,1.30644,1.30969,178.99999999999582,25,8992.40638211113,6,2012,2009-2011
2012-04-30 00:00:00,2012-04-30 11:00:00,89924.06382111131,-185.76812851043516,-157.00000000000713,buy,1.32348,1.32191,269.99999999999244,11,8810.759773192498,6,2012,2009-2011
2012-05-03 12:00:00,2012-05-04 08:00:00,88107.597731925,-357.129462806736,-380.99999999998687,buy,1.3168,1.31299,394.0000000000054,20,8460.972610196755,6,2012,2009-2011
2012-08-22 12:00:00,2012-08-22 14:00:00,84609.72610196755,255.66238903810307,242.9999999999932,buy,1.24428,1.24671,90.00000000001228,2,8717.340080285709,6,2012,2009-2011
2012-08-28 08:00:00,2012-08-28 15:00:00,87173.40080285708,271.18192099755015,320.99999999999346,buy,1.25312,1.25633,1.9999999999908977,7,8991.064558806676,6,2012,2009-2011
2012-09-05 12:00:00,2012-09-06 14:00:00,89910.64558806676,-276.7749373352754,282.9999999999888,buy,1.26041,1.26324,429.99999999999704,26,8724.02994141011,6,2012,2009-2011
