freq_mode,max_trades_per_5days,hourly_noise,daily_noise,profit,num_trades,win_pct,max_dd
high_freq,20,0.0,0.0,1828724.6066160281,785,76.17834394904459,320.99999999999346
high_freq,20,0.0,0.0005,1684490.7376721343,736,75.40760869565217,320.99999999999346
high_freq,20,0.0,0.001,1369878.7431058977,590,74.40677966101696,770.000000000004
high_freq,20,0.0,0.002,1130168.0140298244,520,67.6923076923077,767.0000000000065
high_freq,20,0.0,0.003,850288.7782031314,390,68.71794871794872,1001.0000000000074
high_freq,20,0.0,0.004,845763.6326406677,412,67.96116504854369,1001.0000000000074
high_freq,20,0.0,0.005,674710.3627855113,353,64.58923512747874,1445.0000000000073
high_freq,20,0.0,0.007,442807.8103068931,276,57.608695652173914,1685.000000000003
high_freq,20,0.0,0.01,271528.51850201195,217,51.1520737327189,1781.0000000000102
high_freq,20,0.0005,0.0,1775930.3462393298,988,70.54655870445345,475.9999999999875
high_freq,20,0.0005,0.0005,1672623.8535117968,843,72.00474495848161,475.9999999999875
high_freq,20,0.0005,0.001,1457939.0317324912,686,72.8862973760933,475.9999999999875
high_freq,20,0.0005,0.002,1099252.851205165,506,72.5296442687747,629.9999999999972
high_freq,20,0.0005,0.003,919370.5501945964,443,67.72009029345372,1007.9999999999866
high_freq,20,0.0005,0.004,746600.8351087952,371,67.11590296495957,780.9999999999872
high_freq,20,0.0005,0.005,599016.3119500675,349,62.46418338108882,1292.000000000004
high_freq,20,0.0005,0.007,352942.811073,295,56.949152542372886,1963.9999999999877
high_freq,20,0.0005,0.01,255803.58286671364,254,51.96850393700787,2319.000000000004
high_freq,20,0.001,0.0,1572600.1726159982,1254,64.43381180223285,520.9999999999936
high_freq,20,0.001,0.0005,1553311.3974934653,1044,67.43295019157088,475.9999999999875
high_freq,20,0.001,0.001,1296567.3392311432,763,69.85583224115334,471.9999999999835
high_freq,20,0.001,0.002,1040107.3050690023,525,70.66666666666667,629.9999999999972
high_freq,20,0.001,0.003,889212.4729248043,457,66.52078774617067,1007.9999999999866
high_freq,20,0.001,0.004,766186.4024438382,368,66.84782608695652,780.9999999999872
high_freq,20,0.001,0.005,597173.2155461381,354,61.5819209039548,1292.000000000004
high_freq,20,0.001,0.007,385191.6988854915,294,58.16326530612245,2073.0000000000136
high_freq,20,0.001,0.01,254703.58286671364,254,51.96850393700787,2319.000000000004
high_freq,20,0.002,0.0,1048611.12846474,1410,59.21985815602837,398.99999999999375
high_freq,20,0.002,0.0005,1045774.144045861,1336,59.73053892215569,475.9999999999875
high_freq,20,0.002,0.001,1032419.6147231624,1101,61.76203451407811,478.99999999998494
high_freq,20,0.002,0.002,968445.617099876,639,67.2926447574335,629.9999999999972
high_freq,20,0.002,0.003,884817.6920050005,488,65.1639344262295,930.0000000000085
high_freq,20,0.002,0.004,730947.3853661361,378,66.13756613756614,780.9999999999872
high_freq,20,0.002,0.005,598499.3578076814,370,61.35135135135135,1292.000000000004
high_freq,20,0.002,0.007,396403.5561373855,297,58.92255892255892,2561.9999999999973
high_freq,20,0.002,0.01,281221.6204734149,241,52.282157676348554,2319.000000000004
high_freq,20,0.003,0.0,681549.0243650873,1485,56.70033670033669,567.0000000000064
high_freq,20,0.003,0.0005,691429.435215661,1493,56.86537173476223,567.0000000000064
high_freq,20,0.003,0.001,773999.0641310042,1400,59.21428571428572,626.0000000000153
high_freq,20,0.003,0.002,845699.7143858094,903,62.56921373200443,1036.9999999999989
high_freq,20,0.003,0.003,826721.8353145218,582,65.80756013745705,906.999999999991
high_freq,20,0.003,0.004,723063.7506198146,421,63.657957244655584,780.9999999999872
high_freq,20,0.003,0.005,612454.420077172,387,62.7906976744186,1313.0000000000084
high_freq,20,0.003,0.007,420908.5471436986,319,57.68025078369906,2561.9999999999973
