open_dt,close_dt,volume,pnl,pips,duration,max_dd,direction
2017-05-23 02:00:00,2017-05-29 23:00:00,1000.0,10.65931939461503,1065.9319394614952,117,71.62550000001654,short
2017-05-29 23:00:00,2017-05-30 02:00:00,26986.78871911852,-30.125082530388045,-111.62900055998736,3,60.56430000001,long
2017-05-30 02:00:00,2017-05-30 04:00:00,26904.852058724453,-24.385010971196987,-90.63425034998572,2,41.56429999999656,long
2017-05-30 04:00:00,2017-05-30 06:00:00,26843.217109444686,-45.52784133274226,-169.60650113999608,2,120.56350000000381,long
2017-06-04 21:00:00,2017-06-20 15:00:00,1000.0,14.203352322698322,1420.3352322698313,282,53.638350000007044,short
2017-06-20 15:00:00,2017-06-27 08:00:00,26767.662663642077,151.77761245933053,567.0185490849188,113,4.561599999997057,long
2017-06-27 08:00:00,2017-07-18 02:00:00,1000.0,-28.95772715210702,-2895.772715210709,354,2804.6243499999955,short
2017-07-18 02:00:00,2017-08-02 09:00:00,1000.0,-33.43879559915211,-3343.879559915219,271,3263.7640999999994,short
2017-08-02 09:00:00,2017-08-09 14:00:00,1000.0,11.905114011913515,1190.511401191352,125,479.9184500000164,short
2017-08-09 14:00:00,2017-08-10 04:00:00,25614.93108095294,-27.05720233145461,-105.63058805796997,14,47.87115000002284,long
2017-08-10 04:00:00,2017-08-10 06:00:00,25561.042320152206,-21.643045819775192,-84.67200025998878,2,32.867850000006804,long
2017-08-10 06:00:00,2017-08-10 08:00:00,25514.629180963308,-44.55581451524618,-174.62850115999015,2,120.86575000000987,long
2017-08-15 14:00:00,2017-08-16 07:00:00,25428.65096540475,13.083691792749754,51.45255959724259,17,6.859299999995016,long
2017-08-16 11:00:00,2017-08-16 13:00:00,25479.105185162123,-35.55182374215785,-139.53325080999778,2,89.8553500000121,long
2017-08-16 13:00:00,2017-08-21 15:00:00,25424.28616210136,287.19715018475466,1129.6173601635483,74,20.84710000000989,long
2017-08-21 15:00:00,2017-10-03 02:00:00,1000.0,9.307157738442328,930.7157738442262,731,2664.9061499999902,short
2017-10-05 11:00:00,2017-10-05 13:00:00,26090.790172058216,-32.52621419415494,-124.66550066003722,2,69.8682000000117,long
2017-10-05 13:00:00,2017-10-05 15:00:00,26039.818899262486,-35.56752843942418,-136.58900077999635,2,83.86085000000598,long
2017-10-05 15:00:00,2017-10-08 21:00:00,25986.033143239347,35.76983612640062,137.65023668379504,13,99.85265000003184,long
2017-10-10 11:00:00,2017-10-26 15:00:00,1000.0,8.352322926176736,835.2322926176824,292,821.8976999999849,short
2017-10-26 15:00:00,2017-10-26 17:00:00,26112.728152449814,-60.1767824764603,-230.45000171999507,2,176.84929999999264,long
2017-10-26 17:00:00,2017-10-26 19:00:00,26038.316425210374,-27.419063371831292,-105.30275047000436,2,52.83145000001265,long
2017-10-26 19:00:00,2017-10-27 00:00:00,26003.684165129576,-41.6379111162198,-160.1231227537081,5,103.82335000003184,long
2017-10-31 15:00:00,2017-10-31 21:00:00,25894.43163894541,-22.588036474146712,-87.23125029002075,6,50.82385000001465,long
2017-10-31 21:00:00,2017-11-01 01:00:00,25841.35627000534,-31.817473572722783,-123.1261751135415,4,69.82275000000371,long
2017-11-01 01:00:00,2017-11-01 03:00:00,25779.756802009113,-26.081702314407515,-101.17125043000995,2,53.81820000001091,long
2017-11-06 10:00:00,2017-11-24 16:00:00,1000.0,-33.35208507986057,-3335.2085079860535,342,3243.8048000000163,short
2017-11-24 16:00:00,2017-12-08 09:00:00,1000.0,19.18357873575464,1918.3578735754602,233,232.96770000000853,short
2017-12-08 09:00:00,2017-12-12 16:00:00,25457.643135632487,-35.482453829943765,-139.3783927321923,55,76.86795000001467,long
2017-12-13 17:00:00,2017-12-20 15:00:00,25310.22216954886,226.88327432787466,896.4096514365804,118,207.88124999999712,long
2017-12-20 15:00:00,2018-01-12 15:00:00,1000.0,-26.599702553911335,-2659.9702553911306,356,2558.9410000000034,short
