open_dt,close_dt,volume,pnl,pips,duration,max_dd
2018-12-02 23:00:00,2018-12-04 02:00:00,50000.0,-120.50000000000117,-241.0000000000023,27,238.00000000000486
2018-12-04 02:00:00,2018-12-04 10:00:00,49397.5,-217.84297500000125,-441.00000000000244,8,439.00000000001154
2018-12-04 10:00:00,2018-12-04 13:00:00,48308.28512500004,-6.280077066248241,-12.999999999996346,3,12.999999999996346
2018-12-04 13:00:00,2018-12-04 22:00:00,48276.884739668785,236.55673522438315,490.0000000000126,9,-490.0000000000126
2018-12-09 22:00:00,2018-12-10 00:00:00,49459.66841579069,-24.23523752374246,-49.00000000001014,2,46.99999999999704
2018-12-10 00:00:00,2018-12-10 02:00:00,49338.492228172,-136.66762347203343,-276.9999999999939,2,275.000000000003
2018-12-10 02:00:00,2018-12-10 06:00:00,48655.15411081182,-0.48655154111130566,-1.0000000000065512,4,0.0
2018-12-10 06:00:00,2018-12-10 13:00:00,48652.721353106244,24.326360676550443,49.999999999994486,7,-53.00000000001414
2018-12-10 13:00:00,2018-12-11 01:00:00,48774.353156489015,263.8692505766014,540.9999999999915,12,-541.999999999998
2018-12-11 08:00:00,2018-12-11 16:00:00,50093.69940937202,276.517220739732,551.9999999999969,8,-550.000000000006
2018-12-17 10:00:00,2018-12-17 12:00:00,51476.285513070696,-56.62391406438296,-110.00000000001008,2,110.00000000001008
2018-12-17 12:00:00,2018-12-17 14:00:00,51193.16594274878,-54.264755899316825,-106.00000000000608,2,107.00000000001263
2018-12-17 14:00:00,2018-12-17 17:00:00,50921.842163252186,20.87795528693449,41.000000000002146,3,-42.0000000000087
2018-12-17 17:00:00,2018-12-17 19:00:00,51026.23193968688,-21.431017414672926,-42.0000000000087,2,42.0000000000087
2018-12-17 19:00:00,2018-12-18 04:00:00,50919.07685261351,-23.422775352197373,-45.999999999990486,9,45.999999999990486
2018-12-18 04:00:00,2018-12-18 06:00:00,50801.96297585251,14.732569263003501,29.000000000012346,2,-25.000000000008345
2018-12-18 07:00:00,2018-12-18 09:00:00,50875.625822167574,-55.963188404378165,-109.99999999998788,2,109.99999999998788
2018-12-24 13:00:00,2018-12-24 17:00:00,50595.809880145716,-20.74428205086083,-41.000000000002146,4,38.0000000000047
2018-12-24 18:00:00,2019-01-02 07:00:00,50492.08846989143,-356.47414459743686,-706.0000000000066,81,706.9999999999909
2019-01-02 07:00:00,2019-01-02 18:00:00,48709.717746904214,688.2683117637554,1412.9999999999975,11,-1412.9999999999975
2019-01-07 07:00:00,2019-01-07 09:00:00,52151.05930572296,22.94646609451789,43.99999999999959,2,-45.00000000000614
2019-01-07 18:00:00,2019-01-07 20:00:00,52265.791636195536,-27.700869567179424,-52.999999999991935,2,52.999999999991935
2019-01-07 20:00:00,2019-01-09 15:00:00,52127.28728835966,-245.51952312817357,-470.99999999999915,43,471.9999999999835
2019-01-09 15:00:00,2019-01-09 17:00:00,50899.68967271874,-70.24157174834865,-137.99999999999366,2,137.99999999999366
2019-01-09 17:00:00,2019-01-09 19:00:00,50548.481813977014,-16.680998998609454,-32.999999999994145,2,34.99999999998504
2019-01-09 19:00:00,2019-01-09 21:00:00,50465.07681898398,-57.530187573648846,-114.00000000001408,2,114.99999999999842
2019-01-09 21:00:00,2019-01-09 23:00:00,50177.42588111575,-35.1241981167883,-70.0000000000145,2,53.99999999999849
2019-01-09 23:00:00,2019-01-11 03:00:00,50001.804890531785,158.50572150298052,316.9999999999895,28,-314.9999999999986
2019-01-11 03:00:00,2019-01-15 17:00:00,50794.33349804669,674.548748854058,1327.9999999999957,62,-1327.9999999999957
2019-01-27 22:00:00,2019-01-28 04:00:00,54167.07724231699,-56.33376033200587,-103.99999999999298,6,105.99999999998387
2019-01-28 04:00:00,2019-01-28 15:00:00,53885.408440656975,-39.875202246084164,-73.99999999999629,11,73.99999999999629
2019-01-28 15:00:00,2019-01-28 17:00:00,53686.03242942656,-4.831742918644282,-8.999999999992347,2,10.999999999983244
2019-01-28 17:00:00,2019-01-28 19:00:00,53661.87371483338,-1.0732374742917834,-1.9999999999908977,2,2.9999999999974487
2019-01-28 19:00:00,2019-01-29 00:00:00,53656.507527461945,-4.2925206022012485,-8.000000000008,5,8.999999999992347
2019-01-29 00:00:00,2019-01-29 06:00:00,53635.04492445092,-33.253727853163056,-62.00000000000649,6,62.999999999990834
2019-01-29 06:00:00,2019-01-30 20:00:00,53468.77628518512,-307.9801514026656,-575.9999999999986,38,574.9999999999922
2019-01-30 20:00:00,2019-01-30 22:00:00,51928.875528171775,5.192887552816606,9.999999999998899,2,-11.999999999989795
2019-01-30 22:00:00,2019-01-31 01:00:00,51954.839965935826,-34.80974277717432,-66.99999999999484,3,67.99999999997918
2019-01-31 01:00:00,2019-01-31 03:00:00,51780.79125204993,-52.81640707709201,-102.00000000000207,2,100.99999999999552
2019-01-31 03:00:00,2019-02-11 18:00:00,51516.70921666446,1189.0056487206152,2307.9999999999986,183,-2309.0000000000055
2019-02-18 00:00:00,2019-02-18 12:00:00,57461.73746026758,-159.1690127649377,-276.9999999999939,12,275.000000000003
2019-02-18 12:00:00,2019-02-19 02:00:00,56665.892396442905,149.59795592660788,263.99999999999756,14,-264.99999999998187
2019-02-19 07:00:00,2019-02-19 16:00:00,57413.88217607593,-198.6520323292238,-346.0000000000018,9,347.0000000000084
2019-02-19 16:00:00,2019-02-19 18:00:00,56420.622014429864,-114.53386268929128,-202.9999999999976,2,202.00000000001327
2019-02-19 18:00:00,2019-02-20 02:00:00,55847.952700983406,-30.157894458530198,-53.99999999999849,8,52.999999999991935
2019-02-20 02:00:00,2019-02-20 16:00:00,55697.16322869077,5.569716322868463,9.999999999998899,14,-11.000000000005448
2019-02-20 16:00:00,2019-02-20 18:00:00,55725.01181030511,12.816752716367528,22.999999999995243,2,-21.99999999998869
2019-02-20 18:00:00,2019-02-21 09:00:00,55789.09557388695,37.93658499024391,68.00000000000139,15,-64.99999999998174
2019-02-21 09:00:00,2019-02-21 11:00:00,55978.778498838146,-94.04434787805513,-168.00000000001256,2,169.00000000001913
2019-02-21 11:00:00,2019-02-21 14:00:00,55508.55675944782,-66.61026811134238,-120.00000000000898,3,121.99999999999987
2019-02-21 14:00:00,2019-02-21 16:00:00,55175.50541889112,-23.17371227593907,-42.0000000000087,2,41.000000000002146
2019-02-21 16:00:00,2019-02-25 12:00:00,55059.63685751143,-148.6610195152767,-269.99999999999244,44,267.99999999997937
2019-02-25 12:00:00,2019-02-25 16:00:00,54316.331759935056,59.20480161833113,109.00000000000352,4,-107.99999999999697
2019-02-25 18:00:00,2019-02-25 20:00:00,54612.35576802676,-48.60499663354695,-89.00000000000573,2,90.00000000001228
2019-02-25 20:00:00,2019-02-26 00:00:00,54369.330784859056,-17.941879159000305,-32.999999999994145,4,34.000000000000696
2019-02-26 00:00:00,2019-02-26 03:00:00,54279.62138906406,-11.941516705587956,-21.99999999998869,3,22.999999999995243
2019-02-26 03:00:00,2019-02-26 05:00:00,54219.91380553617,19.519168969988463,35.999999999991594,2,-34.000000000000696
2019-02-26 05:00:00,2019-02-26 14:00:00,54317.509650386055,-71.15593764201357,-131.00000000001444,9,130.00000000000787
2019-02-26 14:00:00,2019-02-26 17:00:00,53961.72996217604,-68.53139705195721,-126.99999999998822,3,129.00000000000134
2019-02-26 17:00:00,2019-02-26 20:00:00,53619.07297691621,-87.93527968213529,-163.99999999998636,3,164.99999999999292
2019-02-26 20:00:00,2019-02-28 12:00:00,53179.39657850555,-133.48028541204957,-251.0000000000012,40,248.9999999999881
2019-02-28 12:00:00,2019-03-01 11:00:00,52511.9951514453,185.89246283612152,354.00000000000983,23,-353.0000000000033
2019-03-01 12:00:00,2019-03-01 15:00:00,53441.45746562587,-95.12579428882019,-178.00000000001145,3,178.99999999999582
2019-03-01 15:00:00,2019-03-01 19:00:00,52965.82849418177,121.29174725167113,228.9999999999903,4,-226.9999999999994
2019-03-03 23:00:00,2019-03-04 08:00:00,53572.287230440124,92.1443340363659,172.00000000001657,9,-171.00000000001003
2019-03-11 19:00:00,2019-03-11 21:00:00,54033.00890062197,19.451883204231365,36.0000000000138,2,-35.00000000000725
2019-03-11 22:00:00,2019-03-12 00:00:00,54130.26831664309,21.65210732665485,39.999999999995595,2,-42.0000000000087
2019-03-17 21:00:00,2019-03-18 08:00:00,54238.52885327641,-151.86788078916928,-279.99999999999136,11,283.00000000001097
2019-03-18 08:00:00,2019-03-18 10:00:00,53479.18944933055,-33.15709745858842,-62.00000000000649,2,60.999999999999936
